timestamp,username,action,succes
2025-12-08T18:32:35.441854,bob,creation_compte,False
2025-12-08T18:32:35.442882,bob,creation_compte,True
2025-12-08T18:32:35.443413,bob,connexion,True
2025-12-08T18:40:20.533114,pierre,creation_compte,True
2025-12-08T18:40:20.859021,marie,creation_compte,True
2025-12-08T18:40:20.859935,marie,connexion,True
2025-12-08T18:43:49.455928,Ihsane,creation_compte,True
2025-12-08T18:44:02.878671,ihsane,connexion,False
2025-12-08T18:44:09.166864,Ihsane,connexion,True
2025-12-08T18:58:46.097381,marie,connexion,True
